rok,Powiat m.Lublin,LUBELSKIE,Powiat m.Rzeszów,PODKARPACKIE,Powiat m.Białystok,PODLASKIE
2005,2419.23,2185.59,2416.75,2108.46,2365,2228.62
2006,2545.84,2325.27,2522.57,2219.58,2478.96,2367.04
2007,2762.84,2541.86,2734.81,2422.96,2715.96,2607.33
2008,3076.91,2825.18,3107.71,2680.01,2994.05,2852.7
2009,3178.15,2962.37,3258.06,2821.7,3144.6,2984.06
2010,3489.07,3137.39,3428.12,2970.29,3241.41,3134.97
2011,3606.97,3322.7,3532.66,3120.68,3360.36,3277.42
2012,3710.8,3448.39,3702.54,3236.61,3493.98,3401.29
2013,3820.91,3561.27,3859.86,3371.45,3627.02,3496.27
2014,3955.65,3659.25,4087.48,3496.79,3706.73,3620.05
2015,4060.17,3764.88,4231.81,3606.86,3844.68,3732.88
2016,4169.46,3917.35,4319.48,3750.43,3967.71,3871.97
2017,4431.61,4079.84,4510.48,3920.08,4164.59,4101.8
2018,4708.4,4327.42,4802.41,4190.18,4396.32,4354.63
2019,5054.93,4627.78,5117.26,4487.03,4744.13,4665.49
